Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Equity Only Funding,Organization Revenue Range,Organization Website,Diversity Spotlight,Number of Partner Investors,Number of Investors
Series A - Uniswap Labs,https://www.crunchbase.com/funding_round/uniswap-labs-series-a--448d8d06,"New York, New York, United States, North America",Uniswap Labs,https://www.crunchbase.com/organization/uniswap-labs,Series A,11000000,USD,11000000,2020-08-06,Yes,$10M to $50M,https://app.uniswap.org/,,,8
Series A - Entera,https://www.crunchbase.com/funding_round/entera-holdings-series-a--af44c050,"New York, New York, United States, North America",Entera,https://www.crunchbase.com/organization/entera-holdings,Series A,32000000,USD,32000000,2021-06-30,Yes,$1M to $10M,https://www.entera.ai/,,3,4
Series A - OpenNode,https://www.crunchbase.com/funding_round/opennode-series-a--1b45f2a5,"Los Angeles, California, United States, North America",OpenNode,https://www.crunchbase.com/organization/opennode,Series A,20000000,USD,20000000,2022-02-08,Yes,$1M to $10M,https://opennode.com/,,2,5
Series A - Arrow Markets,https://www.crunchbase.com/funding_round/arrow-markets-series-a--dc4ed4d6,"Palo Alto, California, United States, North America",Arrow Markets,https://www.crunchbase.com/organization/arrow-markets,Series A,4000000,USD,4000000,2024-03-30,Yes,,https://www.arrow.markets,,1,3
Series A - BrightPlan,https://www.crunchbase.com/funding_round/brightplan-series-a--5f6ac375,"San Jose, California, United States, North America",BrightPlan,https://www.crunchbase.com/organization/brightplan,Series A,9500000,USD,9500000,2021-04-01,Yes,$10M to $50M,https://www.brightplan.com,,1,4
Series A - Transak,https://www.crunchbase.com/funding_round/transak-series-a--94509e85,"Brooklyn, New York, United States, North America",Transak,https://www.crunchbase.com/organization/transak,Series A,20000000,USD,20000000,2023-05-30,Yes,,http://transak.com,,3,18
Series A - NewRetirement,https://www.crunchbase.com/funding_round/newretirement-inc-series-a--3539c687,"Mill Valley, California, United States, North America",NewRetirement,https://www.crunchbase.com/organization/newretirement-inc,Series A,20000000,USD,20000000,2024-03-27,Yes,$1M to $10M,https://www.newretirement.com,,1,11
Series A - Papaya,https://www.crunchbase.com/funding_round/papaya-payments-series-a--8444eedd,"Los Angeles, California, United States, North America",Papaya,https://www.crunchbase.com/organization/papaya-payments,Series A,11000000,USD,11000000,2018-12-03,Yes,$10M to $50M,https://PapayaPay.com,Hispanic / Latine Founded,2,1
Series A - Chargezoom,https://www.crunchbase.com/funding_round/chargezoom-series-a--d43bd788,"Irvine, California, United States, North America",Chargezoom,https://www.crunchbase.com/organization/chargezoom,Series A,4500000,USD,4500000,2022-09-06,Yes,$1M to $10M,https://chargezoom.com,Indigenous Led,1,4
Series A - RabbitHole,https://www.crunchbase.com/funding_round/rabbithole-series-a--b96ed876,"Venice, California, United States, North America",RabbitHole,https://www.crunchbase.com/organization/rabbithole,Series A,18000000,USD,18000000,2022-02-16,Yes,$1M to $10M,https://www.rabbithole.gg,,,3
Series A - Vested Finance,https://www.crunchbase.com/funding_round/vested-6e69-series-a--0b8412c9,"Berkeley, California, United States, North America",Vested Finance,https://www.crunchbase.com/organization/vested-6e69,Series A,12000000,USD,12000000,2022-04-05,Yes,$1M to $10M,https://vested.co.in,Women Founded,2,17
Series A - Finley Technologies,https://www.crunchbase.com/funding_round/finley-ab4b-series-a--313cca87,"San Francisco, California, United States, North America",Finley Technologies,https://www.crunchbase.com/organization/finley-ab4b,Series A,17000000,USD,17000000,2023-01-31,Yes,$1M to $10M,https://www.finleycms.com,,5,6
Series A - LiveFlow,https://www.crunchbase.com/funding_round/liveflow-series-a--d59af505,"New York, New York, United States, North America",LiveFlow,https://www.crunchbase.com/organization/liveflow,Series A,13500000,USD,13500000,2024-09-24,Yes,$1M to $10M,https://www.liveflow.com,Women Founded,1,1
Series A - Passthrough,https://www.crunchbase.com/funding_round/passthrough-series-a--2ed92d1a,"New York, New York, United States, North America",Passthrough,https://www.crunchbase.com/organization/passthrough,Series A,10000000,USD,10000000,2023-02-01,Yes,$1M to $10M,https://www.passthrough.com/,,2,10
