Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Equity Only Funding,Organization Revenue Range,Organization Website,Diversity Spotlight,Number of Partner Investors,Number of Investors
Series A - Yotta,https://www.crunchbase.com/funding_round/yotta-saving-series-a--e6c48738,"New York, New York, United States, North America",Yotta,https://www.crunchbase.com/organization/yotta-saving,Series A,13200000,USD,13200000,2021-01-28,Yes,$1M to $10M,https://withyotta.com/,,2,4
Series A - X1,https://www.crunchbase.com/funding_round/x1-inc-series-a--06d712fc,"San Francisco, California, United States, North America",X1,https://www.crunchbase.com/organization/x1-inc,Series A,10000000,USD,10000000,2020-09-17,Yes,$1M to $10M,https://www.x1creditcard.com,,3,4
Series A - Talos,https://www.crunchbase.com/funding_round/talos-trading-series-a--d47ad43a,"New York, New York, United States, North America",Talos,https://www.crunchbase.com/organization/talos-trading,Series A,40000000,USD,40000000,2021-05-27,Yes,$1M to $10M,https://talos.com,,2,10
Series A - Listo,https://www.crunchbase.com/funding_round/listo-financial-series-a--7bd8d9a4,"San Jose, California, United States, North America",Listo,https://www.crunchbase.com/organization/listo-financial,Series A,8500000,USD,8500000,2018-06-07,Yes,$1M to $10M,https://prestamo.listofin.com/,"Hispanic / Latine Founded, Hispanic / Latine Led",3,3
Series A - Bento for Business,https://www.crunchbase.com/funding_round/bento-series-a--dcbdce7b,"San Francisco, California, United States, North America",Bento for Business,https://www.crunchbase.com/organization/bento,Series A,7000000,USD,7000000,2016-06-09,Yes,$10M to $50M,https://bentoforbusiness.com/,,3,7
Series A - Airbase,https://www.crunchbase.com/funding_round/airbase-series-a--b2893b0e,"San Francisco, California, United States, North America",Airbase,https://www.crunchbase.com/organization/airbase,Series A,23500000,USD,23500000,2020-03-05,Yes,$10M to $50M,https://www.airbase.com/,South Asian Founded,2,4
Series A - Teampay,https://www.crunchbase.com/funding_round/team-labs-series-a--add98305,"New York, New York, United States, North America",Teampay,https://www.crunchbase.com/organization/team-labs,Series A,9000000,USD,9000000,2019-09-26,Yes,Less than $1M,https://www.teampay.co,,2,4
Series A - Ethic,https://www.crunchbase.com/funding_round/ethic-2-series-a--43302b11,"New York, New York, United States, North America",Ethic,https://www.crunchbase.com/organization/ethic-2,Series A,13000000,USD,13000000,2019-07-18,Yes,$1M to $10M,https://www.ethic.com,,5,9
Series A - Step,https://www.crunchbase.com/funding_round/step-c04b-series-a--00d9663f,"Palo Alto, California, United States, North America",Step,https://www.crunchbase.com/organization/step-c04b,Series A,22500000,USD,22500000,2019-06-06,Yes,$10M to $50M,https://step.com,,3,12
Series A - Zoe Financial,https://www.crunchbase.com/funding_round/zoe-financial-series-a--3f70d666,"New York, New York, United States, North America",Zoe Financial,https://www.crunchbase.com/organization/zoe-financial,Series A,10000000,USD,10000000,2021-05-18,Yes,Less than $1M,https://zoefinancial.com,"Hispanic / Latine Founded, Hispanic / Latine Led",1,11
Series A - Gauntlet,https://www.crunchbase.com/funding_round/gauntlet-series-a--11155f80,"Brooklyn, New York, United States, North America",Gauntlet,https://www.crunchbase.com/organization/gauntlet,Series A,13630380,USD,13630380,2021-06-04,Yes,$1M to $10M,https://www.gauntlet.xyz,,2,1
Series A - Anchorage Digital,https://www.crunchbase.com/funding_round/anchorage-series-a--38995ba1,"San Francisco, California, United States, North America",Anchorage Digital,https://www.crunchbase.com/organization/anchorage,Series A,17000000,USD,17000000,2019-01-23,Yes,,https://www.anchorage.com,,,8
Series A - Fieldguide,https://www.crunchbase.com/funding_round/fieldguide-series-a--1a4d4a81,"San Francisco, California, United States, North America",Fieldguide,https://www.crunchbase.com/organization/fieldguide,Series A,17000000,USD,17000000,2022-03-02,Yes,$10M to $50M,https://www.fieldguide.io,"East Asian Founded, East Asian Led",2,3
Series A - Teampay,https://www.crunchbase.com/funding_round/team-labs-series-a--8def5c71,"New York, New York, United States, North America",Teampay,https://www.crunchbase.com/organization/team-labs,Series A,5000000,USD,5000000,2020-10-30,Yes,Less than $1M,https://www.teampay.co,,3,6
Series A - Opyn,https://www.crunchbase.com/funding_round/opyn-series-a--a2de871a,"San Francisco, California, United States, North America",Opyn,https://www.crunchbase.com/organization/opyn,Series A,6700000,USD,6700000,2021-02-03,Yes,$1M to $10M,https://opyn.co,Women Founded,3,5
Series A - Albert,https://www.crunchbase.com/funding_round/albert-3-series-a--8124d282,"Los Angeles, California, United States, North America",Albert,https://www.crunchbase.com/organization/albert-3,Series A,15000000,USD,15000000,2018-12-19,Yes,$100M to $500M,https://albert.com,,3,6
Series A - PayJoy,https://www.crunchbase.com/funding_round/payjoy-series-a--e23e8b76,"San Francisco, California, United States, North America",PayJoy,https://www.crunchbase.com/organization/payjoy,Series A,18000000,USD,18000000,2016-07-11,Yes,$100M to $500M,https://www.payjoy.com,Hispanic / Latine Founded,3,8
Series A - Roofstock,https://www.crunchbase.com/funding_round/roofstock-series-a--ca469fb5,"Oakland, California, United States, North America",Roofstock,https://www.crunchbase.com/organization/roofstock,Series A,7000000,USD,7000000,2016-03-03,Yes,$100M to $500M,https://www.roofstock.com,,1,11
Series A - Dibbs,https://www.crunchbase.com/funding_round/dibbs-ac79-series-a--a2fcbee1,"Los Angeles, California, United States, North America",Dibbs,https://www.crunchbase.com/organization/dibbs-ac79,Series A,13000000,USD,13000000,2021-07-27,Yes,$1M to $10M,https://dibbs.io/,,4,10
Series A - Indio Technologies,https://www.crunchbase.com/funding_round/indio-series-a--1c81be75,"San Francisco, California, United States, North America",Indio Technologies,https://www.crunchbase.com/organization/indio,Series A,6000000,USD,6000000,2018-02-02,Yes,$1M to $10M,http://www.useindio.com/,,2,4
Series A - Hourly,https://www.crunchbase.com/funding_round/hourly-series-a--25332bb0,"Palo Alto, California, United States, North America",Hourly,https://www.crunchbase.com/organization/hourly,Series A,27000000,USD,27000000,2022-06-01,Yes,$10M to $50M,https://www.hourly.io,,7,9
Series A - Landed,https://www.crunchbase.com/funding_round/landed-series-a--8fe2e62d,"San Francisco, California, United States, North America",Landed,https://www.crunchbase.com/organization/landed,Series A,10500000,USD,10500000,2020-06-24,Yes,$1M to $10M,https://www.landed.com/,Black Founded,2,3
Series A - Incode Technologies,https://www.crunchbase.com/funding_round/incode-technologies-series-a--c3477fb8,"San Francisco, California, United States, North America",Incode Technologies,https://www.crunchbase.com/organization/incode-technologies,Series A,25000000,USD,25000000,2021-03-24,Yes,$10M to $50M,http://www.incode.com,,2,7
Series A - Trooly,https://www.crunchbase.com/funding_round/troo-ly-series-a--5e554216,"Los Altos, California, United States, North America",Trooly,https://www.crunchbase.com/organization/troo-ly,Series A,10000000,USD,10000000,2016-06-20,Yes,Less than $1M,http://troo.ly,,1,2
Series A - Juniper Square,https://www.crunchbase.com/funding_round/juniper-square-series-a--21a31229,"San Francisco, California, United States, North America",Juniper Square,https://www.crunchbase.com/organization/juniper-square,Series A,6000000,USD,6000000,2018-01-31,Yes,$10M to $50M,https://www.junipersquare.com,Black Founded,1,1
Series A - Utopia Labs,https://www.crunchbase.com/funding_round/utopia-labs-series-a--d5a375f7,"San Francisco, California, United States, North America",Utopia Labs,https://www.crunchbase.com/organization/utopia-labs,Series A,23000000,USD,23000000,2022-05-31,Yes,,https://www.utopialabs.io,,,8
Series A - Borderless,https://www.crunchbase.com/funding_round/stockal-series-a--20ae058a,"New York, New York, United States, North America",Borderless,https://www.crunchbase.com/organization/stockal,Series A,685000000,INR,8976655,2022-04-14,Yes,$10M to $50M,https://borderless.world/,,1,11
Series A - Leapfin,https://www.crunchbase.com/funding_round/leap-4-series-a--fd0d0055,"San Mateo, California, United States, North America",Leapfin,https://www.crunchbase.com/organization/leap-4,Series A,12200000,USD,12200000,2022-05-05,Yes,$1M to $10M,https://leapfin.com,,1,1
Series A - Cushion,https://www.crunchbase.com/funding_round/cushion-2-series-a--b06166ac,"San Francisco, California, United States, North America",Cushion,https://www.crunchbase.com/organization/cushion-2,Series A,12000000,USD,12000000,2022-05-12,Yes,Less than $1M,https://cushion.ai,,1,7
Series A - Everclear,https://www.crunchbase.com/funding_round/connext-inc-series-a--c1ce43b8,"San Francisco, California, United States, North America",Everclear,https://www.crunchbase.com/organization/connext-inc,Series A,12000000,USD,12000000,2021-07-13,Yes,$1M to $10M,https://www.everclear.org/,"South Asian Led, Women Founded",1,15
Series A - Slope,https://www.crunchbase.com/funding_round/slope-677a-series-a--0c399c52,"San Francisco, California, United States, North America",Slope,https://www.crunchbase.com/organization/slope-677a,Series A,24000000,USD,24000000,2022-04-15,Yes,$1M to $10M,https://slopepay.com,Women Founded,4,8
Series A - Alkymi,https://www.crunchbase.com/funding_round/alkymi-series-a--c091ae89,"New York, New York, United States, North America",Alkymi,https://www.crunchbase.com/organization/alkymi,Series A,21000000,USD,21000000,2022-10-06,Yes,$1M to $10M,http://www.alkymi.io,,4,4
Series A - Boost,https://www.crunchbase.com/funding_round/boost-insurance-series-a--43fad1f4,"New York, New York, United States, North America",Boost,https://www.crunchbase.com/organization/boost-insurance,Series A,14000000,USD,14000000,2020-02-05,Yes,$1M to $10M,https://www.boostinsurance.com,,3,7
Series A - Noyo,https://www.crunchbase.com/funding_round/noyo-com-series-a--430a7cb7,"San Francisco, California, United States, North America",Noyo,https://www.crunchbase.com/organization/noyo-com,Series A,12500000,USD,12500000,2020-09-28,Yes,$1M to $10M,http://www.noyo.com,"Women Founded, Women Led",2,8
Series A - Imprint,https://www.crunchbase.com/funding_round/imprint-cd0f-series-a--345bf3f8,"New York, New York, United States, North America",Imprint,https://www.crunchbase.com/organization/imprint-cd0f,Series A,38000000,USD,38000000,2021-11-15,Yes,$1M to $10M,https://www.imprint.co,,2,6
Series A - Synapse,https://www.crunchbase.com/funding_round/synapsefi-series-a--abf9c15b,"San Francisco, California, United States, North America",Synapse,https://www.crunchbase.com/organization/synapsefi,Series A,17000000,USD,17000000,2018-09-04,Yes,$50M to $100M,https://synapsefi.com,,2,2
Series A - TomoCredit,https://www.crunchbase.com/funding_round/tomocredit-series-a--f26a28fb,"San Francisco, California, United States, North America",TomoCredit,https://www.crunchbase.com/organization/tomocredit,Series A,10000000,USD,10000000,2021-09-15,Yes,$1M to $10M,https://www.tomocredit.com,"East Asian Founded, East Asian Led, Women Founded, Women Led",2,6
Series A - Crowdz,https://www.crunchbase.com/funding_round/crowdz-series-a--ff197aa3,"Campbell, California, United States, North America",Crowdz,https://www.crunchbase.com/organization/crowdz,Series A,7000000,USD,7000000,2020-06-30,Yes,$10M to $50M,https://www.crowdz.io,,4,7
Series A - CoinList,https://www.crunchbase.com/funding_round/coinlist-series-a--c7b1d7f9,"San Francisco, California, United States, North America",CoinList,https://www.crunchbase.com/organization/coinlist,Series A,100000000,USD,100000000,2021-10-26,Yes,$10M to $50M,https://coinlist.co,,,14
Series A - Amplify Life Insurance,https://www.crunchbase.com/funding_round/amplify-life-insurance-series-a--2a93717f,"San Francisco, California, United States, North America",Amplify Life Insurance,https://www.crunchbase.com/organization/amplify-life-insurance,Series A,12000000,USD,12000000,2022-01-18,Yes,$10M to $50M,https://getamplifylife.com/,Women Founded,1,5
Series A - Yieldstreet,https://www.crunchbase.com/funding_round/yieldstreet-series-a--1b15f9f0,"New York, New York, United States, North America",Yieldstreet,https://www.crunchbase.com/organization/yieldstreet,Series A,12800000,USD,12800000,2018-01-10,Yes,$100M to $500M,https://www.yieldstreet.com,,2,5
Series A - Cardless,https://www.crunchbase.com/funding_round/cardless-series-a--1bf4a034,"San Francisco, California, United States, North America",Cardless,https://www.crunchbase.com/organization/cardless,Series A,7000000,USD,7000000,2020-06-01,Yes,$10M to $50M,https://www.cardless.com,,,7
Series A - Jacobi,https://www.crunchbase.com/funding_round/jacobi-series-a--997ef194,"San Francisco, California, United States, North America",Jacobi,https://www.crunchbase.com/organization/jacobi,Series A,11000000,AUD,7668680,2019-07-08,Yes,Less than $1M,https://www.jacobistrategies.com,Women Founded,1,3
Series A - Public,https://www.crunchbase.com/funding_round/publicdotcom-series-a--578be718,"New York, New York, United States, North America",Public,https://www.crunchbase.com/organization/publicdotcom,Series A,6500000,USD,6500000,2019-03-27,Yes,$10M to $50M,https://public.com,,2,3
Series A - WorldCover,https://www.crunchbase.com/funding_round/worldcover-series-a--7088cff6,"New York, New York, United States, North America",WorldCover,https://www.crunchbase.com/organization/worldcover,Series A,6000000,USD,6000000,2019-05-03,Yes,$1M to $10M,http://worldcovr.com,,2,6
Series A - Citcon,https://www.crunchbase.com/funding_round/citcon-2-series-a--fc349eca,"Santa Clara, California, United States, North America",Citcon,https://www.crunchbase.com/organization/citcon-2,Series A,6000000,USD,6000000,2018-12-04,Yes,$10M to $50M,https://www.citcon.com,,2,2
Series A - Clarity Money,https://www.crunchbase.com/funding_round/clarity-money-series-a--e2bd9cbb,"New York, New York, United States, North America",Clarity Money,https://www.crunchbase.com/organization/clarity-money,Series A,3500000,USD,3500000,2016-05-31,Yes,$100M to $500M,http://www.claritymoney.com,,2,12
Series A - Better.com,https://www.crunchbase.com/funding_round/bettermortgage-series-a--06b371d9,"New York, New York, United States, North America",Better.com,https://www.crunchbase.com/organization/bettermortgage,Series A,30000000,USD,30000000,2016-06-13,Yes,$100M to $500M,https://better.com,"South Asian Founded, South Asian Led",3,7
Series A - Reflexivity,https://www.crunchbase.com/funding_round/toggle-f75d-series-a--512bef7f,"New York, New York, United States, North America",Reflexivity,https://www.crunchbase.com/organization/toggle-f75d,Series A,7500000,USD,7500000,2021-05-31,Yes,$1M to $10M,https://reflexivity.com,,,5
Series A - FundGuard,https://www.crunchbase.com/funding_round/fundguard-series-a--cd93fdd6,"New York, New York, United States, North America",FundGuard,https://www.crunchbase.com/organization/fundguard,Series A,12000000,USD,12000000,2021-02-23,Yes,$1M to $10M,https://www.fundguard.com,,2,9
Series A - Kafene,https://www.crunchbase.com/funding_round/kafene-series-a--8e19d8ec,"New York, New York, United States, North America",Kafene,https://www.crunchbase.com/organization/kafene,Series A,14000000,USD,14000000,2021-06-08,Yes,$1M to $10M,http://www.kafene.com,"South Asian Founded, South Asian Led",1,11
Series A - Credora,https://www.crunchbase.com/funding_round/xmargin-series-a--ceddca66,"San Francisco, California, United States, North America",Credora,https://www.crunchbase.com/organization/xmargin,Series A,8000000,USD,8000000,2021-09-13,Yes,,https://credora.io,,,19
Series A - Valon Technologies,https://www.crunchbase.com/funding_round/peach-street-series-a--3e3b098f,"New York, New York, United States, North America",Valon Technologies,https://www.crunchbase.com/organization/peach-street,Series A,50000000,USD,50000000,2021-02-02,Yes,$50M to $100M,https://www.valon.com,,2,7
Series A - Resolve,https://www.crunchbase.com/funding_round/resolve-d113-series-a--3dfd9182,"San Francisco, California, United States, North America",Resolve,https://www.crunchbase.com/organization/resolve-d113,Series A,25000000,USD,25000000,2021-12-09,Yes,$10M to $50M,https://www.resolvepay.com,,1,8
Series A - Valora,https://www.crunchbase.com/funding_round/valora-fc01-series-a--c38b0bbe,"San Francisco, California, United States, North America",Valora,https://www.crunchbase.com/organization/valora-fc01,Series A,20000000,USD,20000000,2021-07-21,Yes,$1M to $10M,https://valoraapp.com/,Women Founded,1,11
Series A - Vesta,https://www.crunchbase.com/funding_round/vesta-431c-series-a--048ede2b,"San Francisco, California, United States, North America",Vesta,https://www.crunchbase.com/organization/vesta-431c,Series A,30000000,USD,30000000,2022-01-27,Yes,$1M to $10M,https://www.usevesta.com,,2,6
Series A - Daylight,https://www.crunchbase.com/funding_round/daylight-7c89-series-a--6ded2f12,"West Hollywood, California, United States, North America",Daylight,https://www.crunchbase.com/organization/daylight-7c89,Series A,15000000,USD,15000000,2022-11-18,Yes,$1M to $10M,https://www.joindaylight.com,Women Founded,4,12
Series A - Trading.TV,https://www.crunchbase.com/funding_round/trading-tv-series-a--1ec69a5f,"New York, New York, United States, North America",Trading.TV,https://www.crunchbase.com/organization/trading-tv,Series A,8000000,USD,8000000,2022-01-14,Yes,$1M to $10M,http://www.trading.tv,,1,3
Series A - Visor,https://www.crunchbase.com/funding_round/visor-series-a--824a776f,"Long Beach, California, United States, North America",Visor,https://www.crunchbase.com/organization/visor,Series A,9000000,USD,9000000,2018-11-16,Yes,$1M to $10M,http://www.visor.com,,1,6
Series A - Peach Finance,https://www.crunchbase.com/funding_round/peach-finance-series-a--d99aa2d7,"Oakland, California, United States, North America",Peach Finance,https://www.crunchbase.com/organization/peach-finance,Series A,20000000,USD,20000000,2021-09-14,Yes,$1M to $10M,https://www.peachfinance.com,Women Founded,2,5
Series A - Veryfi,https://www.crunchbase.com/funding_round/veryfi-series-a--aa7f8836,"San Mateo, California, United States, North America",Veryfi,https://www.crunchbase.com/organization/veryfi,Series A,12000000,USD,12000000,2021-04-06,Yes,$1M to $10M,https://www.veryfi.com/,,3,3
Series A - Vestwell,https://www.crunchbase.com/funding_round/vestwell-series-a--7360e26c,"New York, New York, United States, North America",Vestwell,https://www.crunchbase.com/organization/vestwell,Series A,8050000,USD,8050000,2017-10-02,Yes,$10M to $50M,http://vestwell.com,,2,4
Series A - Saphyre,https://www.crunchbase.com/funding_round/saphyre-series-a--42843054,"Hoboken, New Jersey, United States, North America",Saphyre,https://www.crunchbase.com/organization/saphyre,Series A,18700000,USD,18700000,2022-03-22,Yes,$10M to $50M,https://www.saphyre.com,,3,3
Series A - EverC,https://www.crunchbase.com/funding_round/evercompliant-series-a--3ac99bcc,"New York, New York, United States, North America",EverC,https://www.crunchbase.com/organization/evercompliant,Series A,12501223,USD,12501223,2018-03-12,Yes,$10M to $50M,https://everc.com,,3,5
Series A - Taktile,https://www.crunchbase.com/funding_round/taktile-series-a--1038dca3,"New York, New York, United States, North America",Taktile,https://www.crunchbase.com/organization/taktile,Series A,20000000,USD,20000000,2022-11-22,Yes,$1M to $10M,https://www.taktile.com,,2,3
Series A - Upflow,https://www.crunchbase.com/funding_round/upflow-series-a--7c1309c0,"New York, New York, United States, North America",Upflow,https://www.crunchbase.com/organization/upflow,Series A,15000000,USD,15000000,2021-06-15,Yes,$10M to $50M,https://upflow.io,,3,8
Series A - Sure,https://www.crunchbase.com/funding_round/sure-inc-series-a--cbf6856b,"New York, New York, United States, North America",Sure,https://www.crunchbase.com/organization/sure-inc,Series A,8000000,USD,8000000,2017-06-14,Yes,$1M to $10M,http://www.sureapp.com,,1,10
"Series A - Solid Financial Technologies, Inc",https://www.crunchbase.com/funding_round/solidfi-series-a--b178f517,"San Mateo, California, United States, North America","Solid Financial Technologies, Inc",https://www.crunchbase.com/organization/solidfi,Series A,12000000,USD,12000000,2020-10-29,Yes,$10M to $50M,https://solidfi.com,,3,5
Series A - Hum Capital,https://www.crunchbase.com/funding_round/hum-capital-series-a--80f8f709,"New York, New York, United States, North America",Hum Capital,https://www.crunchbase.com/organization/hum-capital,Series A,9000000,USD,9000000,2021-08-31,Yes,$10M to $50M,https://www.humcapital.com,,3,4
Series A - Polly,https://www.crunchbase.com/funding_round/pollyex-series-a--df9d7ee9,"San Francisco, California, United States, North America",Polly,https://www.crunchbase.com/organization/pollyex,Series A,15000000,USD,15000000,2021-03-25,Yes,$10M to $50M,https://www.polly.io,,2,5
Series A - BlockFi,https://www.crunchbase.com/funding_round/blockfi-inc-series-a--0054360d,"Jersey City, New Jersey, United States, North America",BlockFi,https://www.crunchbase.com/organization/blockfi-inc,Series A,18300000,USD,18300000,2019-08-06,Yes,$100M to $500M,https://blockfi.com,"Hispanic / Latine Founded, Women Founded",6,10
Series A - Super.com,https://www.crunchbase.com/funding_round/superdotcom-series-a--78dd6891,"San Francisco, California, United States, North America",Super.com,https://www.crunchbase.com/organization/superdotcom,Series A,7800000,USD,7800000,2017-07-24,Yes,$10M to $50M,https://www.super.com,,3,5
Series A - Stilt,https://www.crunchbase.com/funding_round/stilt-2-series-a--ec32cb14,"San Francisco, California, United States, North America",Stilt,https://www.crunchbase.com/organization/stilt-2,Series A,11300000,USD,11300000,2021-01-21,Yes,Less than $1M,http://www.stilt.com,,1,2
Series A - Argyle,https://www.crunchbase.com/funding_round/argyle-9a25-series-a--7ebc531b,"New York, New York, United States, North America",Argyle,https://www.crunchbase.com/organization/argyle-9a25,Series A,20000000,USD,20000000,2020-10-14,Yes,$10M to $50M,https://www.argyle.com,,2,5
Series A - Embroker,https://www.crunchbase.com/funding_round/embroker-series-a--8af714da,"San Francisco, California, United States, North America",Embroker,https://www.crunchbase.com/organization/embroker,Series A,12200000,USD,12200000,2016-05-17,Yes,$100M to $500M,https://www.embroker.com/,,2,8
Series A - Even.com,https://www.crunchbase.com/funding_round/even-responsible-finance-series-a--32841785,"Oakland, California, United States, North America",Even.com,https://www.crunchbase.com/organization/even-responsible-finance,Series A,9000000,USD,9000000,2016-04-12,Yes,$1M to $10M,https://even.com/,,6,9
Series A - Brightflow AI,https://www.crunchbase.com/funding_round/brightflow-ai-series-a--27aaa827,"Walnut, California, United States, North America",Brightflow AI,https://www.crunchbase.com/organization/brightflow-ai,Series A,15000000,USD,15000000,2022-09-21,Yes,$1M to $10M,https://www.brightflow.ai/,,5,5
Series A - Resolve,https://www.crunchbase.com/funding_round/resolve-d113-series-a--f483ac37,"San Francisco, California, United States, North America",Resolve,https://www.crunchbase.com/organization/resolve-d113,Series A,60000000,USD,60000000,2021-05-25,Yes,$10M to $50M,https://www.resolvepay.com,,1,8
Series A - Northstar,https://www.crunchbase.com/funding_round/northstar-3aa4-series-a--4e332896,"West Hollywood, California, United States, North America",Northstar,https://www.crunchbase.com/organization/northstar-3aa4,Series A,7300000,USD,7300000,2020-11-17,Yes,$1M to $10M,https://www.northstarmoney.com,,1,12
Series A - Abacum,https://www.crunchbase.com/funding_round/abacum-series-a--e7f2d1ea,"New York, New York, United States, North America",Abacum,https://www.crunchbase.com/organization/abacum,Series A,25000000,USD,25000000,2021-11-30,Yes,$10M to $50M,https://abacum.io,,2,10
Series A - Braavo Capital,https://www.crunchbase.com/funding_round/braavo-capital-series-a--3399e940,"New York, New York, United States, North America",Braavo Capital,https://www.crunchbase.com/organization/braavo-capital,Series A,6000000,USD,6000000,2018-08-21,Yes,$1M to $10M,https://www.getbraavo.com,,1,8
Series A - finally,https://www.crunchbase.com/funding_round/back-office-co-series-a--4dbc6361,"Miami, Florida, United States, North America",finally,https://www.crunchbase.com/organization/back-office-co,Series A,11000000,USD,11000000,2022-03-21,Yes,$1M to $10M,https://www.finally.com,"Hispanic / Latine Founded, Women Founded",2,6
Series A - AnChain.ai,https://www.crunchbase.com/funding_round/anchain-ai-series-a--ea3befdf,"San Jose, California, United States, North America",AnChain.ai,https://www.crunchbase.com/organization/anchain-ai,Series A,10000000,USD,10000000,2021-08-12,Yes,$10M to $50M,https://www.AnChain.ai,,1,5
Series A - LoanSnap,https://www.crunchbase.com/funding_round/loansnap-series-a--99c4f870,"San Francisco, California, United States, North America",LoanSnap,https://www.crunchbase.com/organization/loansnap,Series A,8000000,USD,8000000,2018-07-20,Yes,$1M to $10M,https://www.goloansnap.com/,,2,7
Series A - Moment,https://www.crunchbase.com/funding_round/moment-fa42-series-a--4aea8335,"New York, New York, United States, North America",Moment,https://www.crunchbase.com/organization/moment-fa42,Series A,17000000,USD,17000000,2023-09-14,Yes,,https://moment.com,,3,6
Series A - Unit,https://www.crunchbase.com/funding_round/unit-series-a--e56b3c83,"New York, New York, United States, North America",Unit,https://www.crunchbase.com/organization/unit,Series A,15000000,USD,15000000,2020-12-08,Yes,$10M to $50M,https://www.unit.co,,1,5
Series A - Counterpart,https://www.crunchbase.com/funding_round/counterpart-7676-series-a--ab279f2a,"Los Angeles, California, United States, North America",Counterpart,https://www.crunchbase.com/organization/counterpart-7676,Series A,10000000,USD,10000000,2021-03-23,Yes,$1M to $10M,https://www.yourcounterpart.com/,,1,3
Series A - LoanSnap,https://www.crunchbase.com/funding_round/loansnap-series-a--3a121455,"San Francisco, California, United States, North America",LoanSnap,https://www.crunchbase.com/organization/loansnap,Series A,4700000,USD,4700000,2019-01-29,Yes,$1M to $10M,https://www.goloansnap.com/,,3,7
Series A - North One,https://www.crunchbase.com/funding_round/northone-series-a--28166d20,"New York, New York, United States, North America",North One,https://www.crunchbase.com/organization/northone,Series A,21000000,USD,21000000,2020-03-10,Yes,$10M to $50M,http://www.northone.com,,1,6
Series A - Airbase,https://www.crunchbase.com/funding_round/airbase-series-a--d40f9824,"San Francisco, California, United States, North America",Airbase,https://www.crunchbase.com/organization/airbase,Series A,7000000,USD,7000000,2019-04-17,Yes,$10M to $50M,https://www.airbase.com/,South Asian Founded,1,6
Series A - Novo,https://www.crunchbase.com/funding_round/novo-series-a--ac9aa3b5,"Miami, Florida, United States, North America",Novo,https://www.crunchbase.com/organization/novo,Series A,40700000,USD,40700000,2021-06-16,Yes,$10M to $50M,https://www.novo.co,,2,7
Series A - SoLo Funds,https://www.crunchbase.com/funding_round/solo-funds-inc-series-a--8f5ae40e,"Los Angeles, California, United States, North America",SoLo Funds,https://www.crunchbase.com/organization/solo-funds-inc,Series A,100000,USD,100000,2021-01-12,Yes,$1M to $10M,http://www.solofunds.com,,1,4
Series A - Engine by MoneyLion,https://www.crunchbase.com/funding_round/even-financial-series-a--ed6e5e00,"New York, New York, United States, North America",Engine by MoneyLion,https://www.crunchbase.com/organization/even-financial,Series A,15500000,USD,15500000,2018-08-07,Yes,Less than $1M,https://engine.tech/,,4,11
Series A - Capitalize,https://www.crunchbase.com/funding_round/capitalize-series-a--809e70f6,"New York, New York, United States, North America",Capitalize,https://www.crunchbase.com/organization/capitalize,Series A,12500000,USD,12500000,2021-02-11,Yes,$1M to $10M,https://www.hicapitalize.com,,3,5
Series A - Sardine,https://www.crunchbase.com/funding_round/sardine-series-a--3f57facd,"Miami, Florida, United States, North America",Sardine,https://www.crunchbase.com/organization/sardine,Series A,19500000,USD,19500000,2022-02-10,Yes,$10M to $50M,https://www.sardine.ai,,3,6
Series A - SeedFi,https://www.crunchbase.com/funding_round/seedfi-series-a--3ac31449,"San Francisco, California, United States, North America",SeedFi,https://www.crunchbase.com/organization/seedfi,Series A,15000000,USD,15000000,2020-02-03,Yes,$1M to $10M,https://www.seedfi.com/jobs,,2,4
Series A - Reali,https://www.crunchbase.com/funding_round/reali-series-a--281ebb21,"San Mateo, California, United States, North America",Reali,https://www.crunchbase.com/organization/reali,Series A,6600000,USD,6600000,2017-12-31,Yes,$1M to $10M,http://www.reali.com/,,1,1
Series A - HMBradley,https://www.crunchbase.com/funding_round/hmbradley-series-a--64248611,"Santa Monica, California, United States, North America",HMBradley,https://www.crunchbase.com/organization/hmbradley,Series A,18250000,USD,18250000,2020-11-24,Yes,$1M to $10M,https://www.hmbradley.com,,1,7
Series A - Reali,https://www.crunchbase.com/funding_round/reali-series-a--72dae4d2,"San Mateo, California, United States, North America",Reali,https://www.crunchbase.com/organization/reali,Series A,3026000,USD,3026000,2017-04-13,Yes,$1M to $10M,http://www.reali.com/,,1,2
Series A - GlossGenius,https://www.crunchbase.com/funding_round/glossgenuis-series-a--2fa5fdf0,"New York, New York, United States, North America",GlossGenius,https://www.crunchbase.com/organization/glossgenuis,Series A,16400000,USD,16400000,2021-11-16,Yes,$1M to $10M,https://glossgenius.com,"Women Founded, Women Led",2,6
Series A - SellersFi,https://www.crunchbase.com/funding_round/sellersfunding-series-a--52a35ba7,"New York, New York, United States, North America",SellersFi,https://www.crunchbase.com/organization/sellersfunding,Series A,166500000,USD,166500000,2021-09-14,Yes,$10M to $50M,https://sellersfi.com,,2,3
Series A - Sunbit,https://www.crunchbase.com/funding_round/sunbit-series-a--89feffde,"Los Angeles, California, United States, North America",Sunbit,https://www.crunchbase.com/organization/sunbit,Series A,25000000,USD,25000000,2017-01-01,Yes,$1M to $10M,http://sunbit.com,Women Founded,2,3
