Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Series A - Just Appraised,,"Palo Alto, California, United States, North America",Just Appraised,,Series A,"$12,300,000",,,04/05/2024,—,—,—,—
Series A - Bridgewise,,"New York, New York, United States, North America",Bridgewise,,Series A,"$21,000,000",,,04/16/2024,—,2,3,"Group 11, L4 Venture Builder, SIX"
Series A - AI Squared,,"Mountain View, California, United States, North America",AI Squared,,Series A,"$13,800,000",,,04/17/2024,—,4,5,"Ansa Capital, Latimer Ventures, New Enterprise Associates, Ridgeline, Roger Ferguson"
Series A - Cognition,,"San Francisco, California, United States, North America",Cognition,,Series A,"$175,000,000",,,04/24/2024,—,1,4,"Founders Fund, Khosla Ventures, Nitesh Banta, South Park Commons"
Series A - FINDMINE,,"New York, New York, United States, North America",FINDMINE,,Series A,"$8,900,000",,,04/30/2024,"Women Founded, Women Led",—,9,"Amplifyher Ventures, Frazier Capital, Grayhawk Capital, Hydra, PJC, RevTech Ventures, Sarah Veit Wallis, Vikas Gupta, XRC Ventures"
Series A - Triomics,,"San Francisco, California, United States, North America",Triomics,,Series A,"$15,000,000",,,05/09/2024,—,2,4,"General Catalyst, Lightspeed Venture Partners, Nexus Venture Partners, Y Combinator"
Series A - Earthshot Labs,,"Mill Valley, California, United States, North America",Earthshot Labs,,Series A,"$5,500,000",,,05/10/2024,—,2,9,"Acorn Pacific Ventures, B Current Impact Investment, Earth Foundry, Future Ventures, One Small Planet, Orca Capital, Parameter Ventures, Resilient Earth Capital, Sand Hill Angels"
Series A - TechStine,,"Los Angeles, California, United States, North America",TechStine,,Series A,"$185,000",,,05/17/2024,—,—,—,—
Series A - Rain AI,,"Redwood City, California, United States, North America",Rain AI,,Series A,"$8,100,000",,,05/26/2024,"LGBTQ+ Founded, LGBTQ+ Led",2,1,Epic Venture Partners
Series A - Félix,,"San Francisco, California, United States, North America",Félix,,Series A,"$5,400,000",,,05/28/2024,—,—,5,"Castle Island Ventures, Contour, H20 Capital, MELI Capital, Switch Ventures"
Series A - Plenful,,"San Francisco, California, United States, North America",Plenful,,Series A,"$17,000,000",,,05/30/2024,Women Founded,1,5,"Bessemer Venture Partners, Mitchell P. Rales, Susa Ventures, TQ Ventures, Waterline Ventures"
Series A - Twelve Labs,,"San Francisco, California, United States, North America",Twelve Labs,,Series A,"$50,000,000",,,06/04/2024,Women Founded,2,6,"Index Ventures, Korea Investment Partners, New Enterprise Associates, NVentures, Radical Ventures, WndrCo"
Series A - Sixfold AI,,"New York, New York, United States, North America",Sixfold AI,,Series A,"$15,000,000",,,06/05/2024,Women Founded,5,4,"Bessemer Venture Partners, Crystal Venture Partners, Salesforce Ventures, Scale Venture Partners"
Series A - Anterior,,"New York, New York, United States, North America",Anterior,,Series A,"$20,000,000",,,06/08/2024,—,1,6,"Blue Lion, Mustafa Suleyman, Nebular, Neo, New Enterprise Associates, Sequoia Capital"
Series A - GPTZero,,"New York, New York, United States, North America",GPTZero,,Series A,"$10,000,000",,,06/13/2024,—,3,5,"Altman Capital, Footwork, Neo, Reach Capital, Uncork Capital"
Series A - The HighTech Center,,"New York, New York, United States, North America",The HighTech Center,,Series A,"$150,000",,,06/13/2024,—,—,1,Techstars
Series A - Decagon,,"San Francisco, California, United States, North America",Decagon,,Series A,"$30,000,000",,,06/18/2024,—,2,11,"A*, Aaref Hilaly, Aaron Levie, Accel, Andreessen Horowitz, Ed Hallen, Frederic Kerrest, Howie Liu, Jack Altman, Matt MacInnis, Mike Vernal"
Series A - Sift,,"El Segundo, California, United States, North America",Sift,,Series A,"$17,500,000",,,06/25/2024,—,1,1,GV
Series A - UptimeAI,,"San Francisco, California, United States, North America",UptimeAI,,Series A,"$13,999,999",,,07/01/2024,—,2,3,"Aditya Birla Ventures, Emergent Ventures, WestBridge Capital"
Series A - Vectara,,"Palo Alto, California, United States, North America",Vectara,,Series A,"$25,000,000",,,07/16/2024,"Black Led, Middle Eastern / North African Founded, Middle Eastern / North African Led, South Asian Founded, Women Led",5,8,"Alumni Ventures, FPV Ventures, Fusion Fund, Green Sands Equity, Mack Ventures, Race Capital, Samsung NEXT, WVV Capital"
Series A - Exa,,"San Francisco, California, United States, North America",Exa,,Series A,"$17,000,000",,,07/16/2024,—,1,4,"Lightspeed Venture Partners, Mei Z., NVentures, Y Combinator"
Series A - Allium,,"New York, New York, United States, North America",Allium,,Series A,"$16,500,000",,,07/18/2024,—,2,3,"Amplify Partners, Kleiner Perkins, Theory Ventures"
Series A - Arcee.ai,,"San Francisco, California, United States, North America",Arcee.ai,,Series A,"$24,000,000",,,07/18/2024,—,—,6,"Arcadia Capital, Centre Street Partners, Emergence Capital, Flybridge, Journey Ventures, Scott Banister"
Series A - Consensus,,"San Francisco, California, United States, North America",Consensus,,Series A,"$11,500,000",,,07/23/2024,—,2,7,"Alumni Ventures, Daniel Gross, Draper Associates, Kevin Carter, Nat Friedman, Path Ventures, Union Square Ventures"
Series A - Docket,,"Palo Alto, California, United States, North America",Docket,,Series A,"$15,000,000",,,07/25/2024,—,1,2,"Foundation Capital, Mayfield Fund"
Series A - Sybill AI,,"Mountain View, California, United States, North America",Sybill AI,,Series A,"$11,000,000",,,07/30/2024,Women Founded,2,4,"Greycroft, Neotribe Ventures, Powerhouse Ventures, Uncorrelated Ventures"
Series A - Ema,,"Mountain View, California, United States, North America",Ema,,Series A,"$36,000,000",,,07/31/2024,—,3,10,"Accel, Colle Capital Partners, Frontier Ventures, Hitachi Ventures, Microsoft for Startups, Prosus Ventures, S32, SCB 10X, Sozo Ventures, Wipro Ventures"
Series A - Contextual AI,,"Mountain View, California, United States, North America",Contextual AI,,Series A,"$80,000,000",,,08/01/2024,—,4,10,"Bain Capital Ventures, Bezos Expeditions, Conviction, Greycroft, HSBC Ventures, Lightspeed Venture Partners, Lip-Bu Tan, NVentures, Recall Capital, Snowflake Ventures"
Series A - Prorata.AI,,"Pasadena, California, United States, North America",Prorata.AI,,Series A,"$25,000,000",,,08/06/2024,—,—,4,"Idealab NY, Mayfield Fund, Prime Movers Lab, Revolution Ventures"
Series A - Anysphere,,"San Francisco, California, United States, North America",Anysphere,,Series A,"$60,000,000",,,08/09/2024,—,—,6,"Andreessen Horowitz, Jeff Dean, Noam Brown, OpenAI Startup Fund, Patrick Collison, Thrive Capital"
Series A - Bland AI,,"San Francisco, California, United States, North America",Bland AI,,Series A,"$16,000,000",,,08/28/2024,—,2,9,"Acacia Venture Capital Partners, Ansa Capital, Cameron Ventures, Jeff Lawson, Max Levchin, Piotr Dabkowski, Scale Venture Partners, Upfront Ventures, Y Combinator"
Series A - OpusClip,,"Palo Alto, California, United States, North America",OpusClip,,Series A,"$30,000,000",,,08/29/2024,—,3,12,"AI Grant, Alpine Venture Capital, Alumni Ventures, DCM Ventures, Ding Zhou, Fellows Fund, GTMfund, Hongsen Investment Group, Jason Lemkin, Lightspeed Venture Partners, Millennium New Horizons, Samsung NEXT"
Series A - Aptivio,,"New York, New York, United States, North America",Aptivio,,Series A,"$5,500,000",,,08/30/2024,—,—,2,"AltaIR Capital, Shilling VC"
Series A - Segmed,,"Palo Alto, California, United States, North America",Segmed,,Series A,"$10,400,000",,,09/03/2024,Women Founded,3,11,"Advocate Health, Blumberg Capital, Bold Brain Ventures, Castellan Group, Engine Health Capital, Expeditions Fund, Fox Chase Cancer Center, iGan Partners, Nina Capital, NovaCapital, Y Combinator"
Series A - Prezent AI,,"Los Altos, California, United States, North America",Prezent AI,,Series A,"$15,000,000",,,09/10/2024,—,3,6,"Alumni Ventures, Emergent Ventures, Greycroft, True Global Ventures (TGV), WestWave Capital, Zoom Ventures"
Series A - Supermaven,,"San Francisco, California, United States, North America",Supermaven,,Series A,"$12,000,000",,,09/16/2024,—,—,3,"Bessemer Venture Partners, Denis Yarats, John Schulman"
Series A - Cybord,,"New York, New York, United States, North America",Cybord,,Series A,"$8,700,000",,,09/17/2024,—,2,4,"Capri Ventures, IL Ventures, NextLeap Ventures, Ocean Azul Partners"
