Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Series A - Skydio,https://www.crunchbase.com/funding_round/skydio-series-a--59b06aa9,"San Mateo, California, United States, North America",Skydio,https://www.crunchbase.com/organization/skydio,Series A,25000000,USD,25000000,1/5/2016,,,4,"Accel, Andreessen Horowitz, CAA Ventures, Matt Bellamy"
Series A - Canvs AI,https://www.crunchbase.com/funding_round/mashwork-series-a--9b06c50e,"New York, New York, United States, North America",Canvs AI,https://www.crunchbase.com/organization/mashwork,Series A,5600000,USD,5600000,1/21/2016,,6,9,"Activate Venture Partners, BRaVe Media Ventures, Brave Ventures, KEC Ventures, Ludlow Ventures, Rubicon Venture Capital, Sierra Wasatch Capital, Social Starts, Vayner/RSE"
Series A - Daybreak,https://www.crunchbase.com/funding_round/noodle-analytics-inc-noodle-ai-series-a--a16d4424,"San Francisco, California, United States, North America",Daybreak,https://www.crunchbase.com/organization/noodle-analytics-inc-noodle-ai,Series A,16000000,USD,16000000,3/16/2016,Women Founded,,1,TPG Growth
Series A - Drive.ai,https://www.crunchbase.com/funding_round/drive-ai-series-a--38d1c380,"Mountain View, California, United States, North America",Drive.ai,https://www.crunchbase.com/organization/drive-ai,Series A,12000000,USD,12000000,3/28/2016,Women Founded,1,4,"InnoSpring Seed Fund, Maniv Mobility, Northern Light Venture Capital, Oriza Ventures"
Series A - Nauto,https://www.crunchbase.com/funding_round/nauto-inc-series-a--2a31c549,"Sunnyvale, California, United States, North America",Nauto,https://www.crunchbase.com/organization/nauto-inc,Series A,12000000,USD,12000000,4/13/2016,,1,5,"DNX Ventures, General Motors Ventures, Index Ventures, Mitsui Global Investment, Playground Global"
Series A - Avanan,https://www.crunchbase.com/funding_round/avanan-series-a--5969cf52,"New York, New York, United States, North America",Avanan,https://www.crunchbase.com/organization/avanan,Series A,14900000,USD,14900000,5/17/2016,,1,4,"Greenfield Cities Holdings, L.P., Magma Venture Partners, StageOne Ventures, TPG Growth"
Series A - Trooly,https://www.crunchbase.com/funding_round/troo-ly-series-a--5e554216,"Los Altos, California, United States, North America",Trooly,https://www.crunchbase.com/organization/troo-ly,Series A,10000000,USD,10000000,6/20/2016,,1,2,"Bain Capital Ventures, Milliways Ventures"
Series A - Amplero,https://www.crunchbase.com/funding_round/amplero-series-a--327d0a62,"New York, New York, United States, North America",Amplero,https://www.crunchbase.com/organization/amplero,Series A,8000000,USD,8000000,7/14/2016,Women Founded,2,4,"Salesforce Ventures, Seven Peaks Ventures, Trilogy Equity Partners, Wildcat Venture Partners"
Series A - OpenWeb,https://www.crunchbase.com/funding_round/spotim-series-a--00513e8f,"New York, New York, United States, North America",OpenWeb,https://www.crunchbase.com/organization/spotim,Series A,13000000,USD,13000000,8/3/2016,,1,8,"AltaIR Capital, Avishai Abrahami, Brian Bedol, Giora Kaplan, James Hilton, Nir Zohar, Norma Investment, Ran Tushia"
Series A - Koko,https://www.crunchbase.com/funding_round/koko-3-series-a--3c7cdaa8,"New York, New York, United States, North America",Koko,https://www.crunchbase.com/organization/koko-3,Series A,2500000,USD,2500000,8/9/2016,,,2,"Omidyar Network, Union Square Ventures"
Series A - Cyberinc,https://www.crunchbase.com/funding_round/cyberinc-series-a--3cc8090c,"Los Gatos, California, United States, North America",Cyberinc,https://www.crunchbase.com/organization/cyberinc,Series A,5275000,USD,5275000,8/15/2016,,2,2,"Benhamou Global Ventures, Javelin Venture Partners"
Series A - LeapYear Technologies,https://www.crunchbase.com/funding_round/leapyear-technologies-series-a--93fa9b8e,"San Francisco, California, United States, North America",LeapYear Technologies,https://www.crunchbase.com/organization/leapyear-technologies,Series A,12600000,USD,12600000,8/24/2016,,1,4,"Bain Capital Ventures, Dorm Room Fund, Joseph Grundfest, Nyca Partners"
Series A - SigOpt,https://www.crunchbase.com/funding_round/sigopt-series-a--99521f00,"San Francisco, California, United States, North America",SigOpt,https://www.crunchbase.com/organization/sigopt,Series A,6600000,USD,6600000,8/24/2016,,,5,"Andreessen Horowitz, Blumberg Capital, DCVC, Stanford University, SV Angel"
Series A - Tonal,https://www.crunchbase.com/funding_round/tonal-series-a--79f0aa0c,"San Francisco, California, United States, North America",Tonal,https://www.crunchbase.com/organization/tonal,Series A,12000000,USD,12000000,10/1/2016,,,3,"Next Play Capital, Rick Marini, Shasta Ventures"
Series A - Zoox,https://www.crunchbase.com/funding_round/zoox-series-a--c6873e7f,"Foster City, California, United States, North America",Zoox,https://www.crunchbase.com/organization/zoox,Series A,200000000,USD,200000000,10/4/2016,"Black Led, Women Led",2,9,"AID Partners Capital, ARCHina Capital Partners, Blackbird Ventures, Composite Capital Management, David Spector, Lux Capital, Thomas Tull, Threshold, Visionnaire Ventures"
Series A - Bonsai,https://www.crunchbase.com/funding_round/bonsai-ai-series-a--31ee8c7f,"Berkeley, California, United States, North America",Bonsai,https://www.crunchbase.com/organization/bonsai-ai,Series A,5700000,USD,5700000,11/3/2016,,,3,"Forum Ventures, Neu Venture Capital, New Enterprise Associates"
Series A - ObEN,https://www.crunchbase.com/funding_round/oben-series-a--6dd25002,"Pasadena, California, United States, North America",ObEN,https://www.crunchbase.com/organization/oben,Series A,7700000,USD,7700000,11/3/2016,,2,10,"CrestValue, Cybernaut Westlake Partners, Dream Maker Entertainment, E3 Capital Partners, Gordon Cheng, Hertz Lichtenstein & Young, Idealab, Leaguer Venture Capital, NewDo Venture, Third Wave Digital"
Series A - Zoox,https://www.crunchbase.com/funding_round/zoox-series-a--3a9e5f69,"Foster City, California, United States, North America",Zoox,https://www.crunchbase.com/organization/zoox,Series A,50000000,USD,50000000,11/8/2016,"Black Led, Women Led",,2,"Composite Capital Management, IDG Capital"
Series A - Cape Analytics,https://www.crunchbase.com/funding_round/cape-analytics-series-a--e916b33e,"Palo Alto, California, United States, North America",Cape Analytics,https://www.crunchbase.com/organization/cape-analytics,Series A,14000000,USD,14000000,11/10/2016,,3,9,"DCVC, Dylan Taylor, Formation 8, Khosla Ventures, Lux Capital, Montage Ventures, Plug and Play Insurtech, Promus Ventures, XL Innovate"
Series A - Yewno,https://www.crunchbase.com/funding_round/yewno-series-a--5d06e3a5,"Palo Alto, California, United States, North America",Yewno,https://www.crunchbase.com/organization/yewno,Series A,6500000,USD,6500000,11/16/2016,Women Founded,,2,"Desmond Shum, Pacific Capital Group"
